Total interviews: 108
Total with same opponent: 11
Timetable score: 95
@korintant, PrefPerDay: 3, SameOpp: 0, PrefTotal 9, Total 5, Prm 15:00 @juliasamartseva; 18:00 @ajoodar; , , , , , 17:00 @tjwguy; , 15:00 @poligonf; 17:00 @alexandervlassov; , 
@tjwguy, PrefPerDay: 2, SameOpp: 0, PrefTotal 8, Total 6, , , , 18:00 @igorbulyga; , Prm 18:00 @evgeniy_sibagatullin; Prm 20:00 @pasharemba; , Prm 17:00 @korintant; , 17:00 ps_at_telegram; Prm 20:00 @ganqqwerty; , 
@zham_rys, PrefPerDay: 2, SameOpp: 0, PrefTotal 4, Total 3, , 15:00 @ivor06; Prm 17:00 @mikhail_1234; , Prm 16:00 @darhonbek; , , , , , 
@ivor06, PrefPerDay: 1, SameOpp: 1, PrefTotal 6, Total 6, 18:00 ps_at_telegram; , Prm 15:00 @zham_rys; , Prm 15:00 @poligonf; , , 19:00 shvetsiya; , Prm 17:00 @volyx; , 19:00 shvetsiya; , 
@antonrodin, PrefPerDay: 1, SameOpp: 2, PrefTotal 5, Total 5, Prm 13:00 @poligonf; , , , 13:00 @poligonf; , 13:00 @alexandervlassov; , Prm 13:00 @juliasamartseva; , Prm 13:00 @poligonf; , 
@baibolatovads, PrefPerDay: 2, SameOpp: 0, PrefTotal 10, Total 5, 13:00 @ollyvas; , 12:00 aleksandr_melnichnikov; , Prm 13:00 @chvrn; , , , 14:00 @poligonf; , Prm 13:00 @alexandervlassov; , 
@juliasamartseva, PrefPerDay: 1, SameOpp: 1, PrefTotal 5, Total 5, 15:00 @korintant; , 10:00 @ganqqwerty; , , 14:00 @alexandervlassov; , Prm 12:00 @ganqqwerty; , 13:00 @antonrodin; , , 
@rosepetal2013, PrefPerDay: 1, SameOpp: 0, PrefTotal 2, Total 2, , Prm 19:00 @alexandervlassov; , 19:00 ps_at_telegram; , , , , , 
@alexandervlassov, PrefPerDay: 3, SameOpp: 0, PrefTotal 21, Total 13, Prm 12:00 @yaroslav_is; Prm 17:00 @mikhail_1234; , 19:00 @rosepetal2013; , Prm 14:00 @slisnychyi; 17:00 @alexeydemin; , Prm 14:00 @juliasamartseva; 16:00 @pasharemba; , Prm 13:00 @antonrodin; Prm 19:00 @evheniy_hlushko; , Prm 12:00 @ganqqwerty; 18:00 ps_at_telegram; , 13:00 @baibolatovads; Prm 17:00 @korintant; , 
@slisnychyi, PrefPerDay: 1, SameOpp: 0, PrefTotal 4, Total 4, , Prm 14:00 @ryspekb; , 14:00 @alexandervlassov; , , 18:00 @ajoodar; , , 18:00 @evgeniy_sibagatullin; , 
@mikhail_1234, PrefPerDay: 1, SameOpp: 1, PrefTotal 7, Total 7, 17:00 @alexandervlassov; , 17:00 @zham_rys; , Prm 12:00 @nik0norov; , 19:00 shvetsiya; , 17:00 @nik0norov; , Prm 19:00 alexanch; , Prm 17:00 @trisch_me; , 
@calciotore, PrefPerDay: 2, SameOpp: 0, PrefTotal 4, Total 3, , , , , , 17:00 @djenton; Prm 20:00 @sainnr; , Prm 18:00 @ajoodar; , 
@zubrabubra, PrefPerDay: 1, SameOpp: 0, PrefTotal 2, Total 2, , , , , , Prm 16:00 @poligonf; , 15:00 @pasharemba; , 
@djenton, PrefPerDay: 1, SameOpp: 1, PrefTotal 6, Total 6, Prm 16:00 @trisch_me; , 12:00 @poligonf; , 9:00 @capomafiosoken; , 16:00 @trisch_me; , , Prm 17:00 @calciotore; , 18:00 @sainnr; , 
@sainnr, PrefPerDay: 2, SameOpp: 2, PrefTotal 12, Total 10, 22:00 @pasharemba; , Prm 16:00 @poligonf; Prm 18:00 @chvrn; , , 18:00 @hagman; 20:00 @pasharemba; , 20:00 @alexeydemin; 22:00 ps_at_telegram; , 20:00 @calciotore; , Prm 18:00 @djenton; 20:00 @alexeydemin; , 
